scenario_id,cluster_id,cluster_label,scenario_title,products,product_roles,synergy,content_type,category_diversity,customer_pov,lg_solution,customer_benefit,brand_promise
MPS001,C01,털 제거 & 청소,3단계 완벽 털 제거 루틴: 옷-침구-공기까지,"스타일러,세탁기,공기청정기","의류 털 제거 + 살균,침구류 깊숙한 털 제거,공중 부유 털 포집",의류관리 + 세탁 + 환경 3개 카테고리 조합으로 털이 접촉하는 모든 표면과 공간을 커버,문제해결형 (일상 루틴),3,"아무리 청소해도 옷, 침구, 공기 곳곳에 남아있는 반려견 털... 매일 털과의 전쟁이 지칩니다",스타일러로 의류 털 제거 + 세탁기 펫케어 코스로 침구 세탁 + 공기청정기로 공중 부유 털 포집,옷-침구-공기까지 3단계로 털이 닿는 모든 공간이 깨끗해집니다,Life's Good when every space is fur-free
MPS002,C01,털 제거 & 청소,부재중 털 관리: 바닥과 공기를 동시에,"로봇청소기,에어컨","바닥 자동 청소,필터로 공기 중 털 포집",청소 + 환경 카테고리 조합으로 바닥과 공중의 털을 동시에 관리하는 자동화 루틴,자동화형 (스마트 라이프),2,출근하고 나면 집안에 털이 쌓여있을 생각에 마음이 불편합니다,ThinQ 앱으로 로봇청소기 + 에어컨 동시 예약 → 바닥 청소 시 날리는 털까지 에어컨 필터가 포집,외출 중에도 바닥과 공기가 동시에 깨끗해져 쾌적한 집으로 귀가,Life's Good when home cleans itself
MPS003,C02,냄새 관리,냄새 근원 차단: 공기-섬유-습기 3중 케어,"공기청정기,세탁기,건조기","냄새 입자 필터링,섬유 냄새 제거,고온 살균 + 냄새 완화",환경 + 세탁 카테고리 조합으로 공기와 섬유 양쪽의 냄새 원인을 동시 해결,환경개선형 (공기질 관리),2,"손님이 오면 '개 냄새 난다'는 말이 두렵습니다. 공기만 정화해선 부족해요",공기청정기로 냄새 분자 필터링 + 세탁기로 섬유 깊숙한 냄새 제거 + 건조기 고온 살균,"공기와 섬유, 냄새의 두 가지 원인을 동시에 해결해 자신감 있는 깨끗한 집",Life's Good when home smells fresh
MPS004,C02,냄새 관리,장마철 냄새 해결: 습기와 현관부터 잡는다,"제습기,신발관리기","습기로 인한 냄새 차단,현관 냄새 원천 제거",환경 + 위생 카테고리 조합으로 습기와 외부 오염 두 가지 냄새 원인을 동시 차단,원인해결형 (환경 관리),2,비 오는 날 산책 후 현관부터 눅눅한 냄새가... 장마철엔 특히 심합니다,신발관리기로 젖은 신발 즉시 건조+살균 + 제습기로 실내 습도 40-50% 유지,"습기와 외부 오염, 두 가지 냄새 원인을 차단해 비 오는 날도 상쾌한 집",Life's Good when rain doesn't ruin home
MPS005,C03,분리불안,외출해도 안심: 환경+소리+모니터링 3중 케어,"에어컨,사운드바,씽큐","쾌적한 온도 유지,백색소음으로 안정,원격 모니터링 + 제어",환경 + 엔터테인먼트 + 플랫폼 3개 카테고리 조합으로 물리적 환경과 심리적 안정을 동시에 제공,정서형 (심리 안정),4,혼자 남겨진 우리 아이... 불안해서 짖거나 물건을 물어뜯진 않을까 걱정됩니다,에어컨으로 쾌적한 온도 + 사운드바로 백색소음 재생 + ThinQ로 실시간 모니터링,물리적 환경과 심리적 안정을 동시에 제공해 불안 행동이 현저히 감소,Life's Good when pets feel safe alone
MPS006,C03,분리불안,혼자 있어도 심심하지 않은 집: 영상+움직임,"TV,로봇청소기","시각 자극 + 정서 안정,움직임으로 관심 분산",엔터테인먼트 + 청소 카테고리 조합으로 시각과 움직임 두 가지 자극으로 관심 분산,콘텐츠형 (시각 자극),3,오랜 시간 혼자 있으면 지루해서 문제 행동을 일으키는 우리 아이가 걱정됩니다,TV로 Dog TV/자연 영상 자동 재생 + 오후 시간대 로봇청소기 작동으로 움직임 자극,"시각과 움직임, 두 가지 자극으로 지루함과 불안이 해소되어 문제 행동 감소",Life's Good when pets are entertained
MPS007,C04,온도 관리,여름 열사병 예방: 온도-수분-모니터링 완벽 케어,"에어컨,씽큐,정수기","냉방으로 온도 조절,원격 온도 모니터링,시원한 물 공급",환경 + 플랫폼 + 주방 3개 카테고리 조합으로 온도와 수분 관리를 원격으로 동시에,안전형 (긴급 대응),4,"무더운 여름, 혼자 있는 반려견이 열사병에 걸리진 않을까 불안합니다",에어컨 25도 자동 유지 + ThinQ 실시간 온도 모니터링 + 정수기로 신선한 물 공급,온도와 수분을 원격으로 동시 관리해 여름철에도 안전하게 보호,Life's Good when pets stay cool & safe
MPS008,C05,목욕 & 그루밍,목욕 후 완벽 마무리: 건조-살균-위생 루틴,"건조기,스타일러,신발관리기","수건/담요 빠른 건조,타올 살균 + 보송함,산책 후 발 관리 연계",세탁 + 의류관리 + 위생 3개 카테고리 조합으로 목욕 전후 위생 케어의 완성,케어형 (스트레스 완화),3,"목욕은 잘 시키는데, 타올 관리와 드라이어 스트레스가 고민입니다",건조기로 타올 미리 데우기 + 스타일러로 사용 후 살균 + 신발관리기로 산책 용품 관리,"따뜻한 타올로 드라이어 스트레스 최소화, 위생 케어까지 완성",Life's Good when bath time is stress-free
MPS009,C06,식사 거부,수제 간식 라이프: 조리-세척-환기 완벽 루틴,"오븐,식기세척기,공기청정기","수제 간식 제작,식기 위생 관리,조리 냄새 제거",주방 + 환경 카테고리 조합으로 조리 후 위생과 실내 환경까지 케어,창작형 (홈메이드),2,시판 간식을 거부하는 까다로운 입맛... 직접 만들고 싶지만 위생과 냄새가 걱정됩니다,오븐 에어프라이로 수제 간식 제작 + 식기세척기 고온 살균 + 공기청정기로 냄새 제거,첨가물 없는 건강한 간식을 위생적으로 만들고 깨끗한 환경까지 유지,Life's Good when treats are homemade & healthy
MPS010,C07,공포 & 스트레스,천둥 공포증 완화: 소리-영상-환경 3중 차단,"사운드바,TV,가습기","백색소음 마스킹,시각 자극으로 주의 분산,쾌적한 습도로 안정",엔터테인먼트 + 환경 카테고리 조합으로 감각적 안정 환경 조성,치료형 (공포 관리),2,천둥 소리만 들어도 벌벌 떠는 우리 아이... 폭풍우가 오면 너무 걱정됩니다,사운드바로 백색소음 마스킹 + TV로 차분한 영상 재생 + 가습기로 쾌적한 습도 유지,청각-시각-촉각 3중 안정 환경으로 공포 반응이 현저히 감소,Life's Good when storms don't scare
MPS011,C08,어린이 & 반려견,아이와 반려견 함께: 청결-공기-위생 완벽 분리,"로봇청소기,공기청정기,식기세척기","실시간 바닥 청결,알레르겐 제거,식기 위생 분리",청소 + 환경 + 주방 3개 카테고리 조합으로 바닥-공기-식기 3단계 위생 관리,가족형 (공존 환경),4,"아이와 반려견이 함께 사는데, 위생 문제로 아이 건강이 걱정됩니다",로봇청소기 하루 3회로 바닥 청결 + 공기청정기로 알레르겐 제거 + 식기세척기로 분리 세척,바닥-공기-식기 3단계 위생 관리로 아이와 반려견 모두 건강하게,Life's Good when family lives in harmony
MPS012,C09,건강 & 의료,피부 알레르기 완화: 공기-습도-침구 종합 관리,"공기청정기,제습기,세탁기","알레르겐 필터링,진드기 번식 억제,침구 알레르겐 제거",환경 + 세탁 카테고리 조합으로 알레르기 원인을 공기와 섬유 양쪽에서 차단,치료형 (건강 개선),2,계속 긁고 핥는 우리 아이... 피부 알레르기가 심해서 마음이 아픕니다,공기청정기로 알레르겐 99.9% 필터링 + 제습기로 진드기 억제 + 세탁기 펫케어로 침구 세탁,공기와 섬유 양쪽에서 알레르기 원인을 차단해 2-3주 후 눈에 띄는 개선,Life's Good when itching stops
MPS013,C10,입양 & 일반,직장인 반려인의 하루: ThinQ 원터치 자동화,"씽큐,에어컨,로봇청소기,공기청정기","가전 통합 제어,온도 자동 관리,청소 자동화,공기질 관리",플랫폼 + 환경 + 청소 3개 카테고리 4개 제품 조합으로 반려생활 완전 자동화,스마트홈형 (통합 관리),5,바쁜 직장 생활과 반려생활을 양립하기가 너무 힘듭니다,ThinQ 출근 모드로 에어컨+로봇청소기+공기청정기 원터치 자동화 + 원격 모니터링,반려생활 완전 자동화로 바쁜 직장인도 완벽한 펫케어 실현,Life's Good when smart home cares for pets
