No,제품명,태그
1,공기청정기,#가전_환경 #평수 #CADR #필터교체 #소음 #가격대
2,휴대공기청정기,#가전_환경 #휴대용 #차량용 #USB #가격대
3,가습기,#가전_환경 #용량 #가습방식 #소음 #가격대
4,제습기,#가전_환경 #일일제습량 #평수 #에너지등급 #가격대
5,에어컨,#가전_환경 #평수 #에너지등급 #인버터 #가격대
6,정수기,#가전_주방 #정수방식 #직수 #캐리어 #가격대
7,식기세척기,#가전_주방 #인덕션 #대용량 #에너지등급 #가격대
8,오븐,#가전_주방 #용량 #가열방식 #대기능 #가격대
9,냉장고,#가전_주방 #용량 #도어타입 #에너지등급 #가격대
10,세탁기,#가전_세탁 #용량 #드럼/통돌이 #에너지등급 #가격대
11,건조기,#가전_세탁 #용량 #히트펌프 #에너지등급 #가격대
12,스타일러,#가전_의류관리 #용량 #스팀 #관리기능 #가격대
13,무선청소기,#가전_청소 #흡입력 #배터리 #부품교체 #가격대
14,로봇청소기,#가전_청소 #매핑 #자동충전 #부품교체 #가격대
15,식물가전,#가전_라이프스타일 #재배방식 #크기 #가격대
16,TV,#4K #HDR #스마트TV #스포츠시청 #대형화면 #해상도 #스트리밍 #가격대 #인치
17,프로젝터,#가전_엔터테인먼트 #휘도 #해상도 #거리 #가격대
18,사운드바,#가전_엔터테인먼트 #채널 #서브우퍼 #HDMI #가격대
19,씽큐,#플랫폼 #연동제품 #앱 #가격대
20,webOS,#플랫폼 #버전 #연동 #가격대
21,AI로봇,#미래가전 #기능 #센서 #가격대
22,신발관리기,#가전_위생 #용량 #건조방식 #가격대
