scenario_id,cluster_id,cluster_label,scenario_title,products,product_roles,synergy,content_type,category_diversity,customer_pov,lg_solution,customer_benefit,brand_promise
MLG001,C03,4K·화질 맞추려는 인텐트 (4K / Picture Quality for World Cup),4K로 시청하는데 화면이 선명하게 나오지 않을 때,TV,4K HDR 스포츠 시청,TV 설정만 맞추면 스트리밍 화질을 최대한 살릴 수 있음,화질 가이드형,1,4K로 시청하는데 화면이 흐리거나 답답하게 느껴진다. TV 설정 문제인지 앱 문제인지 구분이 잘 안 된다,LG TV 스포츠 모드와 HDR 설정을 안내대로 맞추면 다양한 소스에서도 선명한 화질로 시청할 수 있다,경기장에 있는 것처럼 생생하게 몰입하여 시청,Life's Good when every game feels live
MLG002,C03,4K·화질 맞추려는 인텐트 (4K / Picture Quality for World Cup),스포츠만 볼 때 화질이 아쉬운 경우 – 원인과 설정 가이드,TV,스포츠 화질 최적화,빠른 동작·스트리밍 환경을 TV 설정으로 보완,문제해결형,1,일반 영상은 괜찮은데 스포츠를 볼 때만 화면이 뭉개지거나 지연되는 느낌이 든다,LG TV 모션·화질 설정으로 스포츠 장면에 맞춘 최적화 방법을 단계별로 안내한다,선명한 움직임으로 경기에만 집중할 수 있다,Life's Good when every game feels live
MLG003,C01,어떤 서비스·채널로 볼지 고민 (Which Service/Channel to Watch),월드컵 TV 시청 – 서비스별 비교와 선택 가이드,TV,스트리밍 앱 연동,한 대의 TV에서 서비스 비교부터 시청까지 연결,비교 가이드형,1,어떤 앱으로 월드컵을 TV에서 보는 것이 좋을지 정보가 많아 선택이 어렵다,LG TV에서 이용 가능한 주요 스트리밍 앱을 기준으로 월드컵 시청에 맞는 옵션을 정리해 안내한다,선택이 쉬워지고 TV에서 바로 시청할 수 있다,Life's Good when you never miss the match
MLG004,C01,어떤 서비스·채널로 볼지 고민 (Which Service/Channel to Watch),HD와 4K, TV에서 어떻게 선택하면 좋을까,TV,해상도별 시청 경험,앱·요금제에 따라 TV에서 어떤 화질을 선택할지 투명하게 안내,정보형,1,풀HD와 4K의 차이도 잘 모르겠고, TV에서 어떤 설정을 골라야 할지 헷갈린다,LG TV 앱별 화질 옵션과 권장 설정을 따라 하시면 환경에 맞는 화질로 시청할 수 있다,선택을 이해하고 최적의 화질로 시청,Life's Good when you never miss the match
MLG005,C02,TV 살지·업그레이드할지 고민 (Buy/Upgrade TV for World Cup),월드컵 시청을 위해 TV를 고려할 때 – 타이밍과 스펙 가이드,TV,스포츠 시청용 TV 구매,시즌 전 구매와 시즌 중 구매 시점을 스포츠 시청 관점에서 정리,구매 가이드형,1,월드컵을 보려고 TV를 바꿀까 고민하는데, 언제 구매하는 것이 좋을지 판단이 서지 않는다,LG TV 스포츠 시청에 맞는 스펙과 가격대별 추천으로 구매 시점과 제품 선택을 도와드린다,구매 결정이 수월해진다,Life's Good when you're ready for the big screen
MLG006,C02,TV 살지·업그레이드할지 고민 (Buy/Upgrade TV for World Cup),스포츠 시청에 맞는 TV 고르기 – 크기·화질·모션 포인트,TV,스포츠 시청 최적 스펙,크기·화질·모션을 기준으로 스포츠용 TV 선택을 안내,구매 가이드형,1,스포츠를 보기 좋은 TV가 어떤 것인지 스펙만 보면 더 헷갈린다,LG TV를 기준으로 스포츠 시청에 초점을 둔 스펙·크기 가이드를 제공한다,스포츠에 맞는 TV를 보다 쉽게 선택할 수 있다,Life's Good when you're ready for the big screen
MLG007,C04,케이블 없이·합법적으로 보려는 인텐트 (Watch Without Cable / Legally),케이블 없이 월드컵을 TV로 시청하는 방법,TV,무캐이블 스트리밍,케이블 없이 TV 한 대로 합법적으로 시청할 수 있는 경로 안내,시청 방법형,1,케이블을 쓰지 않고 TV로 월드컵을 안정적으로 보고 싶다,LG TV 스마트 앱을 통해 케이블 없이 이용 가능한 공식 스트리밍 서비스를 연결하는 방법을 안내한다,케이블 없이 TV에서 안전하고 편하게 시청,Life's Good when you stream without the hassle
MLG008,C05,어느 채널·지역에서 나오는지 확인 (Which Channel / Regional Availability),우리 지역에서 월드컵을 어디서 볼 수 있는지 안내,TV,지역별 채널·앱 안내,지역별 TV·앱 시청 옵션을 한곳에서 확인할 수 있도록 안내,정보형,1,우리 나라·지역에서 월드컵이 TV로 어디서 방송되는지 찾기 어렵다,LG TV 앱·채널 가이드를 통해 지역별 시청 가능 옵션을 정리해 드린다,지역에 맞는 시청 방법을 빠르게 확인,Life's Good when the game finds you
MLG009,C05,어느 채널·지역에서 나오는지 확인 (Which Channel / Regional Availability),2026 월드컵 TV·스트리밍 방송 정보 정리,TV,방송권·일정 정보,방송권·채널·일정을 TV 시청 전제로 한눈에 정리,정보형,1,다음 월드컵이 TV에서 어디서 나오는지 미리 알고 준비하고 싶다,LG TV와 연동되는 공식 방송·스트리밍 정보를 한곳에 정리해 안내한다,방송 정보를 파악한 뒤 TV 시청을 준비할 수 있다,Life's Good when the game finds you
MLG010,C06,기기·앱·설정 고민 (Device / App / Setup for World Cup),TV 시청 중 끊김이 반복될 때 – 네트워크·설정 점검 가이드,TV,앱·기기 설정,끊김 원인을 TV·네트워크 관점에서 점검하고 해결 방법 안내,설정 가이드형,1,TV로 보다가 버퍼링이나 끊김이 자주 생겨 불편하다,LG TV 네트워크·앱 설정을 순서대로 점검하면 대부분의 끊김을 줄일 수 있다,끊김 없이 경기 끝까지 편하게 시청,Life's Good when the stream never stops
MLG011,C06,기기·앱·설정 고민 (Device / App / Setup for World Cup),거실과 방, 여러 TV로 같은 경기를 동시에 보는 방법,TV,멀티 TV 스트리밍,한 집 안 여러 TV에서 같은 경기를 동시에 시청하는 설정 안내,설정 가이드형,1,거실과 방 TV에서 같은 경기를 보고 싶은데 설정이 복잡하게 느껴진다,LG TV 앱·계정 연동으로 멀티 룸 시청이 가능하도록 단계별로 안내한다,한 집에서 여러 TV로 동시에 시청,Life's Good when the stream never stops
MLG012,C07,스트리밍 품질 불만·문제 (Streaming Quality Complaints),스트리밍 화질이 아쉬울 때 TV 설정으로 보완하는 방법,TV,화질·버퍼링 보완,앱의 한계를 TV 설정으로 보완해 체감 품질을 높이는 방법 안내,문제해결형,1,스트리밍 앱 화질이 아쉬운데 TV 설정까지 맞지 않아 더 답답하게 느껴진다,LG TV 화질·모션·네트워크 설정으로 앱 한계 안에서 선명도를 높이는 방법을 안내한다,TV에서 더 나은 화질로 시청할 수 있다,Life's Good when the picture keeps up with the game
MLG013,C08,언제·일정으로 볼지 고민 (When / Schedule to Watch),새벽 경기 시청 – TV로 일정 맞추고 준비하는 방법,TV,일정·리마인더 시청,경기 일정에 맞춰 TV 알람·준비까지 연결하는 방법 안내,라이프스타일형,1,새벽에 하는 경기를 TV로 보려면 알람과 준비가 따로따로라 번거롭다,LG TV 알람·스마트 루틴으로 경기 일정에 맞춰 시청 준비를 한 번에 할 수 있도록 안내한다,일정에 맞춰 TV로 경기를 놓치지 않고 시청,Life's Good when you're up for the game
MLG014,C09,다른 사람 시청법 궁금·논의 (How Others Watch / Discussion),다른 분들은 월드컵을 TV로 어떻게 시청하고 있을까,TV,시청 경험 공유,실제 사용자의 시청 방법·설정 경험을 공유해 고민을 덜어드림,커뮤니티형,1,다른 분들은 TV로 월드컵을 어떻게 설정하고 보는지 궁금하다,LG TV 사용자들의 시청 후기와 설정 노하우를 소개하는 콘텐츠로 참고할 수 있게 한다,다른 사용자의 시청법을 참고해 내 TV 설정에 반영,Life's Good when we watch together
